"_report","_báo cáo"
"If ticked, the BOM cost will be automatically updated based on Valuation Rate / Price List Rate / last purchase rate of raw materials.","Nếu được chọn, chi phí BOM sẽ được tự động cập nhật dựa trên Tỷ lệ định giá / Tỷ lệ bảng giá / tỷ lệ mua nguyên vật liệu thô gần nhất."
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","Nếu tìm thấy hai hoặc nhiều Quy tắc Định giá dựa trên các điều kiện trên, Mức độ ưu tiên sẽ được áp dụng. Mức độ ưu tiên là một số từ 0 đến 20, trong khi giá trị mặc định là 0 (trống). Số cao hơn có nghĩa là nó sẽ được ưu tiên nếu có nhiều Quy tắc Định giá có cùng điều kiện."
"If unchecked, the value will always be re-fetched on save.","Nếu không chọn, giá trị sẽ luôn được lấy lại khi lưu."
"If unlimited expiry for the Loyalty Points, keep the Expiry Duration empty or 0.","Nếu Điểm trung thành hết hạn không giới hạn, hãy để trống Thời hạn hết hạn hoặc để bằng 0."
"If user is the owner","Nếu người dùng là chủ sở hữu"
"If yes, then this warehouse will be used to store rejected materials","Nếu có, thì kho này sẽ được sử dụng để lưu trữ vật liệu bị loại bỏ"
"If you {0} {1} quantities of the item {2}, the scheme {3} will be applied on the item.","Nếu bạn {0} {1} số lượng mặt hàng {2}, chương trình {3} sẽ được áp dụng cho mặt hàng đó."
"If you {0} {1} worth item {2}, the scheme {3} will be applied on the item.","Nếu bạn {0} {1} giá trị mặt hàng {2}, chương trình {3} sẽ được áp dụng cho mặt hàng đó."
"If you are maintaining stock of this Item in your Inventory, ERPNext will make a stock ledger entry for each transaction of this item.","Nếu bạn đang duy trì lượng hàng tồn kho của Mặt hàng này, ERPNext sẽ tạo định khoản sổ kho cho mỗi giao dịch của mặt hàng này."
"If you are updating, please select ""Overwrite"" else existing rows will not be deleted.","Nếu bạn đang cập nhật, vui lòng chọn ""Ghi đè"", nếu không, các hàng hiện có sẽ không bị xóa."
"If you are uploading new records, leave the ""name"" (ID) column blank.","Nếu bạn đang tải lên bản ghi mới, hãy để trống cột ""tên"" (ID)."
"If you are uploading new records, Naming Series becomes mandatory, if present.","Nếu bạn đang tải lên bản ghi mới, Sê-ri đặt tên sẽ trở nên bắt buộc, nếu có."
"If you have any questions, reach out to your system administrator.","Nếu bạn có bất kỳ thắc mắc nào, hãy liên hệ với quản trị viên hệ thống."
"If you have recently restored the site, you may need to copy the site_config.json containing the original encryption key.","Nếu bạn vừa khôi phục trang web, bạn có thể cần sao chép site_config.json có chứa khóa mã hóa gốc."
"If you need to reconcile particular transactions against each other, then please select accordingly. If not, all the transactions will be allocated in FIFO order.","Nếu bạn cần đối chiếu các giao dịch cụ thể với nhau, vui lòng chọn mặt hàng tương ứng. Nếu không, tất cả các giao dịch sẽ được phân bổ theo thứ tự FIFO."
"If you set this, this Item will come in a drop-down under the selected parent.","Nếu bạn thiết lập mặt hàng này, mặt hàng này sẽ xuất hiện trong danh sách thả xuống bên dưới mặt hàng cha đã chọn."
"If you still want to proceed, please disable 'Skip Available Sub Assembly Items' checkbox.","Nếu bạn vẫn muốn tiếp tục, vui lòng bỏ chọn hộp kiểm 'Bỏ qua các mặt hàng lắp ráp phụ có sẵn'."
"If you still want to proceed, please enable {0}.","Nếu bạn vẫn muốn tiếp tục, vui lòng bật {0}."
"If you think this is unauthorized, please change the Administrator password.","Nếu bạn cho rằng việc này là trái phép, vui lòng thay đổi mật khẩu Quản trị viên."
"If your CSV uses a different delimiter, add that character here, ensuring no spaces or additional characters are included.","Nếu tệp CSV của bạn sử dụng dấu phân cách khác, hãy thêm ký tự đó vào đây, đảm bảo không có khoảng trắng hoặc ký tự bổ sung nào được thêm vào."
"If your data is in HTML, please copy paste the exact HTML code with the tags.","Nếu dữ liệu của bạn ở dạng HTML, vui lòng sao chép và dán mã HTML chính xác với các thẻ."
"Ignore","Phớt lờ"
"Ignore Account Closing Balance","Bỏ qua số dư đóng tài khoản"
"Ignore attachments over this size","Bỏ qua các tệp đính kèm có kích thước lớn hơn thế này"
"Ignore Closing Balance","Bỏ qua số dư cuối kỳ"
"Ignore Default Payment Terms Template","Bỏ qua Biểu mẫu điều khoản thanh toán mặc định"
"Ignore Employee Time Overlap","Bỏ qua thời gian chồng chéo của nhân viên"
"Ignore Empty Stock","Bỏ qua hàng tồn kho rỗng"
"Ignore Exchange Rate Revaluation and Gain / Loss Journals","Bỏ qua việc định giá lại tỷ giá hối đoái và các tạp chí lãi/lỗ"
"Ignore Existing Ordered Qty","Bỏ qua số lượng đã đặt hàng hiện có"
"Ignore Existing Projected Quantity","Bỏ qua số lượng dự kiến ​​hiện có"
"Ignore Is Opening check for reporting","Bỏ qua là mở kiểm tra để báo cáo"
"Ignore Pricing Rule","Bỏ qua quy tắc định giá"
"Ignore Pricing Rule is enabled. Cannot apply coupon code.","Bỏ qua Quy tắc Định giá đã được bật. Không thể áp dụng mã giảm giá."
"Ignore System Generated Credit / Debit Notes","Bỏ qua phiếu ghi có / ghi nợ do hệ thống tạo ra"
"Ignore User Permissions","Bỏ qua quyền của người dùng"
"Ignore User Time Overlap","Bỏ qua sự chồng chéo thời gian của người dùng"
"Ignore Voucher Type filter and Select Vouchers Manually","Bỏ qua bộ lọc Loại phiếu và Chọn phiếu theo cách thủ công"
"Ignore Workstation Time Overlap","Bỏ qua sự chồng chéo thời gian của công đoạn sản xuất"
"Ignore XSS Filter","Bỏ qua bộ lọc XSS"
"Ignored Apps","Ứng dụng bị bỏ qua"
"Ignores legacy Is Opening field in GL Entry that allows adding opening balance post the system is in use while generating reports","Bỏ qua trường Is Opening cũ trong GL Entry cho phép thêm số dư mở đầu sau khi hệ thống được sử dụng trong khi tạo báo cáo"
"Illegal Document Status for {0}","Tình trạng tài liệu bất hợp pháp cho {0}"
"Illegal SQL Query","Truy vấn SQL bất hợp pháp"
"Illegal template","Biểu mẫu bất hợp pháp"
"Image","Hình ảnh"
"image","hình ảnh"
"Image Field","Trường hình ảnh"
"Image field must be a valid fieldname","Trường hình ảnh phải là tên trường hợp lệ"
"Image field must be of type Attach Image","Trường hình ảnh phải thuộc loại Đính kèm hình ảnh"
"Image Height","Chiều cao hình ảnh"
"Image Link","Liên kết hình ảnh"
"Image link '{0}' is not valid","Liên kết hình ảnh '{0}' không hợp lệ"
"Image optimized","Hình ảnh được tối ưu hóa"
"Image View","Xem hình ảnh"
"Image Width","Chiều rộng hình ảnh"
"Image: Corrupted Data Stream","Hình ảnh: Luồng dữ liệu bị hỏng"
"Images","Hình ảnh"
"IMAP Details","Chi tiết IMAP"
"IMAP Folder","Thư mặt hàng IMAP"
"Impairment","Sự suy giảm"
"Impersonate","Mạo danh"
"Impersonate as {0}","Mạo danh là {0}"
"Impersonated by {0}","Bị mạo danh bởi {0}"
"Impersonating {0}","Mạo danh {0}"
"Implement `clear_old_logs` method to enable auto error clearing.","Triển khai phương thức `clear_old_logs` để kích hoạt tính năng tự động xóa lỗi."
"Implicit","Ngầm định"
"Import","Nhập dữ liệu"
"import","import dữ liệu"
"Import Chart of Accounts from a csv file","Nhập cây tài khoản từ tệp csv"
"Import completed. {0} common codes created.","Đã nhập xong. {0} mã chung đã được tạo."
"Import Email From","Nhập Email Từ"
"Import File","Nhập tập tin"
"Import File Errors and Warnings","Lỗi và cảnh báo khi nhập tệp"
"Import from Google Sheets","Nhập từ Google Trang tính"
"Import Genericode File","Nhập tệp Genericode"
"Import in Bulk","import số lượng lớn"
"Import Invoices","Import hàng loạt hóa đơn"
"Import Log","Nhật ký import dữ liệu"
"Import Log Preview","Xem trước nhật ký import dữ liệu"
"Import Preview","Xem trước import"
"Import Progress","Tiến trình import"
"Import Subscribers","import người đăng ký"
"Import Successful","Nhập thành công"
"Import Supplier Invoice","Hóa đơn nhà cung cấp import"
"Import template should be of type .csv, .xlsx or .xls","Biểu mẫu import phải có định dạng .csv, .xlsx hoặc .xls"
"Import template should contain a Header and atleast one row.","Biểu mẫu nhập phải chứa Tiêu đề và ít nhất một hàng."
"Import timed out, please re-try.","Đã hết thời gian nhập, vui lòng thử lại."
"Import Type","Loại import"
"Import Using CSV file","Nhập bằng tệp CSV"
"Import Warnings","Cảnh báo import"
"Import Zip","Nhập mã Zip"
"Importing {0} is not allowed.","Không được phép nhập {0}."
"Importing {0} of {1}","Đang nhập {0} của {1}"
"Importing {0} of {1}, {2}","Đang nhập {0} của {1}, {2}"
"Importing Common Codes","Nhập mã chung"
"In","TRONG"
"In Days","Trong những ngày"
"In Filter","Trong Bộ lọc"
"In Global Search","Trong Tìm kiếm Toàn cầu"
"In Global Search' is not allowed for field {0} of type {1}","Trong Tìm kiếm toàn cầu' không được phép đối với trường {0} loại {1}"
"In Global Search' not allowed for type {0} in row {1}","Trong Tìm kiếm toàn cầu' không được phép cho loại {0} trong hàng {1}"
"In Grid View","Trong chế độ xem lưới"
"In House","Trong nhà"
"In List Filter","Trong danh sách lọc"
"In List View","Trong chế độ xem danh sách"
"In List View' is not allowed for field {0} of type {1}","Trong chế độ xem danh sách' không được phép đối với trường {0} thuộc loại {1}"
"In List View' not allowed for type {0} in row {1}","Trong chế độ xem danh sách' không được phép cho loại {0} trong hàng {1}"
"In Maintenance","Trong Bảo trì"
"In mins","Trong vài phút"
"In Mins","Trong phút"
"In Minutes","Trong vài phút"
"In minutes","Trong vài phút"
"In Party Currency","Trong tiền tệ của đối tác"
"In Percentage","Theo phần trăm"
"In points. Default is 9.","Tính theo điểm. Mặc định là 9."
"In Preview","Trong bản xem trước"
"In Process","Đang tiến hành"
"In Production","Đang sản xuất"
"In Progress","Đang tiến hành"
"In Qty","Số lượng"
"In Read Only Mode","Ở chế độ Chỉ đọc"
"In Reply To","Trả lời cho"
"In row {0} of Appointment Booking Slots: ""To Time"" must be later than ""From Time"".","Ở hàng {0} của Khung giờ đặt lịch hẹn: ""Đến thời gian"" phải sau ""Từ thời gian""."
"In seconds","Trong vài giây"
"In Standard Filter","Trong Bộ lọc Tiêu chuẩn"
"In Stock","Còn hàng"
"In stock","Còn hàng"
"In Stock Qty","Số lượng trong kho"
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent","Trong trường hợp chương trình nhiều tầng, Khách hàng sẽ được tự động phân bổ vào tầng liên quan theo số tiền họ đã chi tiêu."
"In this section, you can define Company-wide transaction-related defaults for this Item. Eg. Default Warehouse, Default Price List, Supplier, etc.","Trong phần này, bạn có thể xác định các mặc định liên quan đến giao dịch trên toàn Công ty cho mặt hàng này. Ví dụ: Kho mặc định, Bảng giá mặc định, Nhà cung cấp, v.v."
"In Transit","Đang vận chuyển"
"In Transit Transfer","Đang chuyển hàng"
"In Transit Warehouse","Kho hàng đang vận chuyển"
"In Value","Trong giá trị"
"In Words","Trong lời nói"
"In Words (Company Currency)","Bằng lời (Đơn vị tiền tệ của công ty)"
"In Words (Export) will be visible once you save the Delivery Note.","Trong Word (Xuất) sẽ hiển thị sau khi bạn lưu Biên bản giao hàng."
"In Words will be visible once you save the Delivery Note.","In Words sẽ hiển thị sau khi bạn lưu Biên bản giao hàng."
"In Words will be visible once you save the Sales Invoice.","Trong Word sẽ hiển thị sau khi bạn lưu Hóa đơn bán hàng."
"In Words will be visible once you save the Sales Order.","Trong Word sẽ hiển thị sau khi bạn lưu Đơn đặt hàng."
"Inactive","Không hoạt động"
"Inactive Customers","Khách hàng không hoạt động"
"Inactive Sales Items","Các mặt hàng bán không hoạt động"
"Inactive Status","Trạng thái không hoạt động"
"Inbox","Hộp thư đến"
"inbox","hộp thư đến"
"Inbox User","Người dùng hộp thư đến"
"Inbox View","Chế độ xem hộp thư đến"
"Incentives","Các ưu đãi"
"Include Account Currency","Bao gồm tiền tệ tài khoản"
"Include Ageing Summary","Bao gồm Tóm tắt Lão hóa"
"Include Closed Orders","Bao gồm các lệnh đã đóng"
"Include Default FB Assets","Bao gồm các tài sản FB mặc định"
"Include Default FB Entries","Bao gồm các định khoản FB mặc định"
"Include Disabled","Bao gồm Vô hiệu hóa"
"Include Expired","Bao gồm hết hạn"
"Include Expired Batches","Bao gồm các lô đã hết hạn"
"Include Exploded Items","Bao gồm các mặt hàng nổ"
"Include filters","Bao gồm các bộ lọc"
"Include hidden columns","Bao gồm các cột ẩn"
"Include in gross","Bao gồm trong tổng"
"Include indentation","Bao gồm thụt lề"
"Include Item In Manufacturing","Bao gồm mặt hàng trong sản xuất"
"Include Name Field","Bao gồm trường tên"
"Include Non Stock Items","Bao gồm các mặt hàng không có sẵn"
"Include Payment","Bao gồm thanh toán"
"Include Payment (POS)","Bao gồm thanh toán (POS)"
"Include POS Transactions","Bao gồm các giao dịch POS"
"Include Reconciled Entries","Bao gồm các mặt hàng đã đối chiếu"
"Include Returned Invoices (Stand-alone)","Bao gồm hóa đơn trả lại (độc lập)"
"Include Safety Stock in Required Qty Calculation","Bao gồm hàng tồn kho an toàn trong tính toán số lượng cần thiết"
"Include Search in Top Bar","Bao gồm Tìm kiếm trong Thanh trên cùng"
"Include Sub-assembly Raw Materials","Bao gồm nguyên liệu thô lắp ráp phụ"
"Include Subcontracted Items","Bao gồm các mặt hàng được thầu phụ"
"Include symbols, numbers and capital letters in the password","Bao gồm các ký hiệu, số và chữ in hoa trong mật khẩu"
"Include Theme from Apps","Bao gồm chủ đề từ ứng dụng"
"Include Timesheets in Draft Status","Bao gồm Bảng chấm công trong Trạng thái bản nháp"
"Include UOM","Bao gồm UOM"
"Include Web View Link in Email","Bao gồm liên kết xem web trong email"
"Include Zero Stock Items","Bao gồm các mặt hàng không có trong kho"
"Included in Gross Profit","Bao gồm trong Lợi nhuận gộp"
"Including items for sub assemblies","Bao gồm các mặt hàng cho các cụm lắp ráp phụ"
"Income","Thu nhập"
"Income Account","Tài khoản thu nhập"
"Incoming","Đang đến"
"Incoming (POP/IMAP) Settings","Cài đặt thư đến (POP/IMAP)"
"Incoming call from {0}","Cuộc gọi đến từ {0}"
"Incoming Call Handling Schedule","Lịch trình xử lý cuộc gọi đến"
"Incoming Call Settings","Cài đặt cuộc gọi đến"
"Incoming email account not correct","Tài khoản email đến không chính xác"
"Incoming Emails (Last 7 days)","Email đến (7 ngày qua)"
"Incoming Rate","Tỷ lệ đến"
"Incoming Rate (Costing)","Tỷ lệ đầu vào (Chi phí)"
"Incoming Server","Máy chủ đến"
"Incoming Settings","Cài đặt đến"
"Incompatible Setting Detected","Đã phát hiện cài đặt không tương thích"
"Incomplete login details","Thông tin đăng nhập không đầy đủ"
"Incomplete Virtual Doctype Implementation","Triển khai Virtual Doctype chưa hoàn thiện"
"Incorrect Balance Qty After Transaction","Số dư không chính xác sau khi giao dịch"
"Incorrect Batch Consumed","Đã tiêu thụ lô không đúng"
"Incorrect Check in (group) Warehouse for Reorder","Kiểm tra không đúng (nhóm) Kho để đặt hàng lại"
"Incorrect Component Quantity","Số lượng thành phần không chính xác"
"Incorrect Configuration","Cấu hình không chính xác"
"Incorrect Date","Ngày không chính xác"
"Incorrect Invoice","Hóa đơn không chính xác"
"Incorrect number of General Ledger Entries found. You might have selected a wrong Account in the transaction.","Tìm thấy số lượng định khoản Sổ cái không chính xác. Có thể bạn đã chọn sai Tài khoản trong giao dịch."
"Incorrect Payment Type","Loại thanh toán không chính xác"
"Incorrect Reference Document (Purchase Receipt Item)","Tài liệu tham chiếu không chính xác (mặt hàng Phiếu nhập kho mua hàng)"
"Incorrect Serial and Batch Bundle","Gói hàng loạt và sê-ri không chính xác"
"Incorrect Serial No Valuation","Định giá số sê-ri không chính xác"
"Incorrect Serial Number Consumed","Đã sử dụng số sê-ri không chính xác"
"Incorrect Stock Value Report","Báo cáo giá trị tồn kho không chính xác"
"Incorrect Type of Transaction","Loại giao dịch không chính xác"
"Incorrect URL","URL không chính xác"
"Incorrect User or Password","Người dùng hoặc mật khẩu không đúng"
"Incorrect value in row {0}:","Giá trị không chính xác trong hàng {0}:"
"Incorrect value:","Giá trị không chính xác:"
"Incorrect Verification code","Mã xác minh không chính xác"
"Incorrect Warehouse","Kho hàng không chính xác"
"Increase In Asset Life (Months)","Tăng tuổi thọ tài sản (tháng)"
"Increase In Asset Life(Months)","Tăng tuổi thọ tài sản (tháng)"
"Increment","Tăng dần"
"Increment cannot be 0","Tăng không thể bằng 0"
"Increment for Attribute {0} cannot be 0","Tăng cho Thuộc tính {0} không thể bằng 0"
"Indent","thụt lề"
"indent-left","thụt lề trái"
"indent-right","thụt lề phải"
"Index","mặt hàng lục"
"Index created successfully on column {0} of doctype {1}","Chỉ mặt hàng đã được tạo thành công trên cột {0} của doctype {1}"
"Index Web Pages for Search","Trang web chỉ mặt hàng để tìm kiếm"
"Indexing authorization code","Mã ủy quyền lập chỉ mặt hàng"
"Indexing refresh token","Mã thông báo làm mới chỉ mặt hàng"
"Indicates that the package is a part of this delivery (Only Draft)","Chỉ ra rằng gói hàng là một phần của lần giao hàng này (Chỉ bản nháp)"
"Indicator","Chỉ số"
"Indicator Color","Màu chỉ thị"
"Indicator color","Màu chỉ thị"
"Indirect Expense","Chi phí gián tiếp"
"Indirect Expenses","Chi phí gián tiếp"
"Indirect Income","Thu nhập gián tiếp"
"Individual","Cá nhân"
"Individual GL Entry cannot be cancelled.","Không thể hủy định khoản GL cá nhân."
"Individual Stock Ledger Entry cannot be cancelled.","Không thể hủy định khoản sổ cái tồn kho riêng lẻ."
"Industry","Ngành công nghiệp"
"Industry Type","Loại ngành công nghiệp"
"Info","Thông tin"
"info-sign","biển báo thông tin"
"Info:","Thông tin:"
"Initial Email Notification Sent","Đã ghi sổ thông báo qua email đầu tiên"
"Initial Sync Count","Số lần đồng bộ ban đầu"
"Initialize Summary Table","Khởi tạo Bảng tóm tắt"
"Initiated","Đã khởi xướng"
"Input existing role name if you would like to extend it with access of another role.","Nhập tên vai trò hiện có nếu bạn muốn mở rộng nó bằng quyền truy cập của một vai trò khác."
"Insert","Chèn"
"Insert Above","Chèn ở trên"
"Insert After","Chèn Sau"
"Insert After cannot be set as {0}","Không thể đặt Insert After thành {0}"
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist","Chèn sau trường '{0}' được đề cập trong Trường tùy chỉnh '{1}', có nhãn '{2}', không tồn tại"
"Insert Below","Chèn bên dưới"
"Insert Column Before {0}","Chèn cột trước {0}"
"Insert Image in Markdown","Chèn hình ảnh vào Markdown"
"Insert New Records","Chèn bản ghi mới"
"Insert Style","Chèn Kiểu"
"Inspected By","Được kiểm tra bởi"
"Inspection Rejected","Kiểm tra bị từ chối"
"Inspection Required","Cần kiểm tra"
"Inspection Required before Delivery","Kiểm tra trước khi giao hàng"
"Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI","Yêu cầu kiểm tra trước khi giao hàng đã bị vô hiệu hóa đối với mặt hàng {0}, không cần tạo QI"
"Inspection Required before Purchase","Cần kiểm tra trước khi mua"
"Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI","Yêu cầu kiểm tra trước khi mua đã bị vô hiệu hóa đối với mặt hàng {0}, không cần tạo QI"
"Inspection Submission","ghi sổ hồ sơ kiểm tra"
"Inspection Type","Loại kiểm tra"
"Install {0} from Marketplace","Cài đặt {0} từ Marketplace"
"Installation Date","Ngày cài đặt"
"Installation date cannot be before delivery date for Item {0}","Ngày lắp đặt không thể trước ngày giao hàng cho Mặt hàng {0}"
"Installation Note","Lưu ý cài đặt"
"Installation Note {0} has already been submitted","Ghi chú cài đặt {0} đã được ghi sổ"
"Installation Note Item","mặt hàng Ghi chú Cài đặt"
"Installation Status","Trạng thái cài đặt"
"Installation Time","Thời gian cài đặt"
"Installed Application","Ứng dụng đã cài đặt"
"Installed Applications","Ứng dụng đã cài đặt"
"Installed Apps","Ứng dụng đã cài đặt"
"Installed Qty","Số lượng đã cài đặt"
"Installing presets","Cài đặt cài đặt trước"
"Instruction","Chỉ dẫn"
"Instructions","Hướng dẫn"
"Instructions Emailed","Hướng dẫn được ghi sổ qua email"
"Insufficient attachment limit","Giới hạn đính kèm không đủ"
"Insufficient Capacity","Công suất không đủ"
"Insufficient Permission for {0}","Không đủ quyền cho {0}"
"Insufficient Permission Level for {0}","Mức độ quyền không đủ cho {0}"
"Insufficient Permissions","Quyền không đủ"
"Insufficient Permissions for deleting Report","Không đủ quyền để xóa Báo cáo"
"Insufficient Permissions for editing Report","Không đủ quyền để chỉnh sửa Báo cáo"
"Insufficient Stock","Không đủ hàng"
"Insufficient Stock for Batch","Không đủ hàng cho lô hàng"
"Insurance","Bảo hiểm"
"Insurance Company","Công ty bảo hiểm"
"Insurance Details","Chi tiết bảo hiểm"
"Insurance End Date","Ngày kết thúc bảo hiểm"
"Insurance Start Date","Ngày bắt đầu bảo hiểm"
"Insurance Start date should be less than Insurance End date","Ngày bắt đầu bảo hiểm phải nhỏ hơn ngày kết thúc bảo hiểm"
"Insured value","Giá trị bảo hiểm"
"Insurer","Công ty bảo hiểm"
"Integration Details","Chi tiết tích hợp"
"Integration ID","ID tích hợp"
"Integration Request","Yêu cầu tích hợp"
"Integrations","Tích hợp"
"Integrations can use this field to set email delivery status","Tích hợp có thể sử dụng trường này để thiết lập trạng thái ghi sổ email"
"Inter","Chôn cất"
"Inter Company Invoice Reference","Tham chiếu hóa đơn liên công ty"
"Inter Company Journal Entry","định khoản liên công ty"
"Inter Company Journal Entry Reference","Tham chiếu định khoản liên công ty"
"Inter Company Order Reference","Tham chiếu lệnh liên công ty"
"Inter Company Purchase Order","Lệnh mua hàng giữa các công ty"
"Inter Company Reference","Tham chiếu giữa các công ty"
"Inter Company Sales Order","Lệnh bán hàng giữa các công ty"
"Inter Transfer Reference","Tham chiếu chuyển khoản liên thông"
"Inter Warehouse Transfer Settings","Cài đặt chuyển kho liên kho"
"Interest","Quan tâm"
"Interest and/or dunning fee","Lãi suất và/hoặc phí đòi nợ"
"Interested","Thú vị"
"Interests","Sở thích"
"Intermediate","Trung cấp"
"Internal","Nội bộ"
"Internal Customer","Khách hàng nội bộ"
"Internal Customer for company {0} already exists","Khách hàng nội bộ cho công ty {0} đã tồn tại"
"Internal Purchase Order","Đơn đặt hàng nội bộ"
"Internal record of document shares","Bản ghi nội bộ về chia sẻ tài liệu"
"Internal Sale or Delivery Reference missing.","Thiếu mã số bán hàng nội bộ hoặc mã số giao hàng."
"Internal Sales Order","Đơn đặt hàng nội bộ"
"Internal Sales Reference Missing","Thiếu tham chiếu bán hàng nội bộ"
"Internal Server Error","Lỗi máy chủ nội bộ"
"Internal Supplier","Nhà cung cấp nội bộ"
"Internal Supplier for company {0} already exists","Nhà cung cấp nội bộ cho công ty {0} đã tồn tại"
"Internal Transfer","Chuyển khoản nội bộ"
"Internal Transfer Reference Missing","Thiếu tham chiếu chuyển giao nội bộ"
"Internal Transfers","Chuyển khoản nội bộ"
"Internal transfers can only be done in company's default currency","Chuyển khoản nội bộ chỉ có thể được thực hiện bằng loại tiền tệ mặc định của công ty"
"Internal Work History","Lịch sử công việc nội bộ"
"Interval should be between 1 to 59 MInutes","Khoảng thời gian nên từ 1 đến 59 phút"
"Intro Video URL","URL Video giới thiệu"
"Introduce your company to the website visitor.","Giới thiệu công ty của bạn với người truy cập trang web."
"Introduction","Giới thiệu"
"Introductory information for the Contact Us Page","Thông tin giới thiệu cho Trang Liên hệ với chúng tôi"
"Introspection URI","URI nội quan"
"Invalid","Không hợp lệ"
"Invalid ""depends_on"" expression","Biểu thức ""depends_on"" không hợp lệ"
"Invalid ""depends_on"" expression set in filter {0}","Biểu thức ""depends_on"" không hợp lệ được đặt trong bộ lọc {0}"
"Invalid ""mandatory_depends_on"" expression","Biểu thức ""mandatory_depends_on"" không hợp lệ"
"Invalid {0}","Không hợp lệ {0}"
"Invalid {0} condition","Điều kiện {0} không hợp lệ"
"Invalid {0} for Inter Company Transaction.","{0} không hợp lệ đối với Giao dịch giữa các công ty."
"Invalid {0}: {1}","Không hợp lệ {0}: {1}"
"Invalid Account","Tài khoản không hợp lệ"
"Invalid Action","Hành động không hợp lệ"
"Invalid aggregate function","Hàm tổng hợp không hợp lệ"
"Invalid alias format: {0}. Alias must be a simple identifier.","Định dạng bí danh không hợp lệ: {0}. Bí danh phải là một mã định danh đơn giản."
"Invalid Allocated Amount","Số tiền phân bổ không hợp lệ"
"Invalid Amount","Số tiền không hợp lệ"
"Invalid amount in accounting entries of {} {} for Account {}: {}","Số tiền không hợp lệ trong mặt hàng kế toán của {} {} cho Tài khoản {}: {}"
"Invalid app","Ứng dụng không hợp lệ"
"Invalid argument format: {0}. Only quoted string literals or simple field names are allowed.","Định dạng đối số không hợp lệ: {0}. Chỉ cho phép Sê-ri ký tự được trích dẫn hoặc tên trường đơn giản."
"Invalid argument type: {0}. Only strings, numbers, and None are allowed.","Kiểu đối số không hợp lệ: {0}. Chỉ chấp nhận Sê-ri, số và None."
"Invalid Attribute","Thuộc tính không hợp lệ"
"Invalid Auto Repeat Date","Ngày lặp lại tự động không hợp lệ"
"Invalid Barcode. There is no Item attached to this barcode.","Mã vạch không hợp lệ. Không có mặt hàng nào được đính kèm vào mã vạch này."
"Invalid Blanket Order for the selected Customer and Item","Đơn hàng chăn không hợp lệ cho Khách hàng và Mặt hàng đã chọn"
"Invalid characters in fieldname: {0}. Only letters, numbers, and underscores are allowed.","Ký tự không hợp lệ trong tên trường: {0}. Chỉ được phép sử dụng chữ cái, số và dấu gạch dưới."
"Invalid characters in table name: {0}","Ký tự không hợp lệ trong tên bảng: {0}"
"Invalid Child Procedure","Thủ tục trẻ em không hợp lệ"
"Invalid Code. Please try again.","Mã không hợp lệ. Vui lòng thử lại."
"Invalid column","Cột không hợp lệ"
"Invalid Company for Inter Company Transaction.","Công ty không hợp lệ cho giao dịch giữa các công ty."
"Invalid condition expression","Biểu thức điều kiện không hợp lệ"
"Invalid condition type in nested filters: {0}","Kiểu điều kiện không hợp lệ trong bộ lọc lồng nhau: {0}"
"Invalid Condition: {}","Điều kiện không hợp lệ: {}"
"Invalid Cost Center","Trung tâm chi phí không hợp lệ"
"Invalid Credentials","Thông tin đăng nhập không hợp lệ"
"Invalid CSV Format","Định dạng CSV không hợp lệ"
"Invalid Date","Ngày không hợp lệ"
"Invalid Delivery Date","Ngày giao hàng không hợp lệ"
"Invalid direction in Order By: {0}. Must be 'ASC' or 'DESC'.","Hướng không hợp lệ trong Sắp xếp theo: {0}. Phải là 'ASC' hoặc 'DESC'."
"Invalid Discount","Giảm giá không hợp lệ"
"Invalid Discount Amount","Số tiền giảm giá không hợp lệ"
"Invalid docstatus","Docstatus không hợp lệ"
"Invalid DocType","DocType không hợp lệ"
"Invalid Doctype","Doctype không hợp lệ"
"Invalid DocType: {0}","DocType không hợp lệ: {0}"
"Invalid Document","Tài liệu không hợp lệ"
"Invalid Document Type","Loại tài liệu không hợp lệ"
"Invalid expression set in filter {0}","Biểu thức không hợp lệ được đặt trong bộ lọc {0}"
"Invalid expression set in filter {0} ({1})","Biểu thức không hợp lệ được đặt trong bộ lọc {0} ({1})"
"Invalid field format for SELECT: {0}. Field names must be simple, backticked, table-qualified, aliased, or '*'.","Định dạng trường không hợp lệ cho SELECT: {0}. Tên trường phải đơn giản, có dấu ngoặc ngược, đủ điều kiện cho bảng, có bí danh hoặc '*'."
"Invalid field format in {0}: {1}. Use 'field', link_field.field', or 'child_table.field'.","Định dạng trường không hợp lệ trong {0}: {1}. Sử dụng 'trường', 'link_field.field' hoặc 'child_table.field'."
"Invalid field name {0}","Tên trường không hợp lệ {0}"
"Invalid field name in function: {0}. Only simple field names are allowed.","Tên trường trong hàm không hợp lệ: {0}. Chỉ được phép sử dụng tên trường đơn giản."
"Invalid field type: {0}","Kiểu trường không hợp lệ: {0}"
"Invalid Fieldname","Tên trường không hợp lệ"
